Cellar or Fridge Name,Wine Name,Vintage,Wine Type,Grapes,Producer,Country,Region,Subregion,Size,Quantity,Average Market Price (USD),Total Market Price (USD),Average Purchase Price (USD),Total Purchase Price (USD),Drink Window,Tags
Inventory,Ridge Lytton Estate Vineyard Syrah Grenache Mataro,2023,red,"Viognier, Mataro, Grenache Noir, Grenache, Syrah/Shiraz",Ridge Vineyards,United States,California,Dry Creek Valley,750ml,1,,,,,2026-2038,
Inventory,Ridge Mancini Ranch ,2023,red,"Zinfandel, Alicante Bouschet, Carignane",Ridge Vineyards,United States,California,Paso Robles,750ml,1,,,,,2026-2034,
Inventory,Ridge Stone Ranch Zinfandel,2023,red,"Zinfandel, Petite Sirah",Ridge Vineyards,United States,California,Sonoma County,750ml,2,,,,,2025-2035,
Inventory,Ridge Vineyards Planchon Zinfandel,2023,red,"Barbera, Merlot, Zinfandel",Ridge Vineyards,United States,California,Contra Costa County,750ml,1,,,,,2025-2035,
Inventory,Saperavi MarmeNiko,2023,red,Saperavi,MARMENKO,United States,Georgia,Tsinandali,750ml,1,,,,,2027-2038,
Inventory,Schiavenza Barolo del Comune di Serralunga d'Alba,2021,red,Nebbiolo,Schiavenza,Italy,Piedmont,Barolo,750ml,2,42.58,85.16,,,2030-2045,
Inventory,Schramsberg Blanc de Blancs Brut,2022,sparkling,Chardonnay,Schramsberg,United States,California,North Coast,750ml,2,41.14,82.28,,,2023-2027,
Inventory,Silvano Bolmida Le Coste di Monforte Barolo ,2020,red,Nebbiolo,Silvano Bolmida,Italy,Piedmont,Barolo,750ml,1,,,,,2028-2045,
Inventory,Silver Oak Alexander Valley Cabernet Sauvignon,2018,red,Cabernet Sauvignon,Silver Oak,United States,California,Alexander Valley,750ml,1,136.89,136.89,,,2025-2036,Gift
Inventory,Spring Mountain Vineyard Elivette Napa Valley,2000,red,"Malbec, Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc",Spring Mountain Vineyard,United States,California,Napa Valley,750ml,1,,,,,2008-2030,
Inventory,Stags' Leap Petite Sirah,2020,red,Petite Sirah,Stags' Leap Winery,United States,California,Napa Valley,750ml,4,38.93,155.72,,,2025-2038,
Inventory,Stag's Leap Wine Cellars Distinguished Vineyards Rancho Chimiles Cabernet Sauvignon,2019,red,"Malbec, Merlot, Petite Sirah, Petit Verdot, Cabernet Sauvignon, Cabernet Franc, Syrah/Shiraz",Stags' Leap Winery,United States,California,North Coast,750ml,1,,,0.50,0.50,2023-2029,
Inventory,Stamnaki Assyrtiko,2024,white,Assyrtiko,Stamnaki,Greece,,,750ml,1,,,,,2025-2031,
Inventory,Sylvain Pataille Clos du Roy Marsannay,2021,red,Pinot Noir,Domaine Sylvain Pataille,France,Burgundy,Marsannay,750ml,1,99.52,99.52,100.00,100.00,2025-2032,
Inventory,Tenute Baldo Le Ripaie Sangiovese,2023,red,Sangiovese,Tenute Baldo,Italy,Umbria,Montefalco Sagrantino,750ml,1,14.00,14.00,11.99,11.99,2025-2029,
Inventory,The Prisoner Saldo Zinfandel,2022,red,"Zinfandel, Petite Sirah, Syrah/Shiraz",The Prisoner Wine Company,United States,California,,750ml,1,29.09,29.09,0.00,0.00,2024-2030,Gift
Inventory,Veuve Clicquot Champagne Brut,N.V.,sparkling,"Chardonnay, Pinot Noir, Pinot Meunier",Veuve Clicquot,France,Champagne,,750ml,2,66.31,132.62,,,2026-2029,Gift
Inventory,Wiston Estate Blanc de Blancs Sparkling,2018,sparkling,Chardonnay,Wiston Estate Winery,United Kingdom,England,,750ml,1,73.27,73.27,,,2023-2030,
Inventory,Ridge Monte Bello,,red,"Cabernet Sauvignon, Merlot, Petit Verdot, Cabernet Franc",Ridge Vineyards,United States,California,Santa Cruz Mountains,750ml,1,,,,,,Vault
Inventory,Ridge Evangelho Vineyard Zinfandel,,red,"Zinfandel, Mataro, Petite Sirah, Carignane",Ridge Vineyards,United States,California,Contra Costa County,750ml,1,,,,,,
